skill,F2022,W2023,F2023,W2024,F2024,F2025,W2026
.Net,1.3781255964878794,1.2026893097259796,1.9375557537912576,1.6131033627000868,1.4387151938733782,1.9088836508365856,1.854461417056536
A/B Testing,2.6111853407138765,2.3518067125599336,2.672613737734166,2.357612607023204,3.2938027435964163,3.0951736929556786,3.3087199143227557
Ab Experiments,0.0,0.0133929767230064,0.039250669045495,0.0041361624684617,0.0111528309602587,0.0038641369450133,0.0
Ab Testing,0.2824966596678755,0.2410735810141162,0.4424620874219447,0.2274889357653968,0.3345849288077623,0.1120599714053866,0.0676399301054055
Ability To Work Independently,5.83699179232678,6.613451905820588,6.665477252453167,7.076973983538073,6.99654262240232,6.526527300127516,6.437066681697762
Account Management,0.8360374117197938,0.7071491709747408,0.6993755575379126,1.1209000289531372,0.9108145284211308,1.0587735229336528,1.2287920635815344
Accounting,4.661194884519946,5.85005223260922,5.091882247992864,5.530049220333375,5.858953864455928,6.673364504038023,5.867763936643932
Active Directory,0.2824966596678755,0.4821471620282324,0.4103479036574487,0.5046118211523348,0.5018773932116436,0.676223965377333,0.5693027450538302
Adherence To Laws And Policies,0.0496277915632754,0.0428575255136206,0.0463871543264942,0.0579062745584646,0.0408937135209487,0.0579620541751999,0.0507299475790541
Administrative Support,0.332124451231151,0.4339324458254091,0.4781445138269402,0.4508417090623319,0.4163723558496598,0.4211909270064531,0.3832929372639648
Advanced Analytics,5.81026913533117,5.587549888838293,5.066904549509367,3.892128882822517,5.022491542436522,5.108389041307624,5.3210078349585705
Advanced Excel Skills,1.5270089711777055,1.8348378110518844,1.5593220338983051,1.8778177606816395,1.795605784601658,2.0789056764171723,2.2884843018995547
Advanced Incident Response,0.3970223325062035,0.3830391342779846,0.4388938447814451,0.7072837821069612,0.8141566600988884,1.4413230804899726,1.8826447212671211
Agentic Ai,0.072532926130941,0.0616076929258296,0.1106155218554861,0.1861273110807792,0.2267742295252611,5.347965531898451,7.761681979595288
Agentic Frameworks,0.0,0.0,0.0071364852809991,0.016544649873847,0.0334584928807762,1.0587735229336528,1.4993517840031565
Agile Delivery,0.4275625119297576,0.4714327806498272,0.5031222123104371,0.5087479836207967,0.4609836796906948,0.6916805131573863,1.2344287244236514
Agile Development Practices,0.591715976331361,0.5973267618460879,0.5566458519179304,0.4756586838731025,0.5799472099334547,0.6723598284323197,0.4565695282114875
Agile Environments,1.0879938919641152,1.0928669005973268,1.1275646743978591,1.2698018778177609,1.029778058663891,1.4065458479848525,1.82627811284595
Agile Methodologies,18.59515174651651,18.18498379449817,17.495093666369314,18.40592298465484,17.870552808654597,17.581823099810656,17.315822106983823
Agile Project Management,0.3588471082267608,0.3267886320413575,0.3068688670829616,0.3391653224138644,0.2676679430462099,0.2473047644808532,0.2705597204216222
Ai,18.19049436915442,17.167117563549674,23.05084745762712,23.336228647061255,25.0083646232202,40.73959581127555,46.12479567104448
Ai Agent Systems Architecture,0.0687154037029967,0.0991080277502477,0.0927743086529884,0.0868594118376969,0.0817874270418974,0.2202558058657598,0.4622061890536046
Ai Algorithms,1.5804542851689254,1.55626389521335,2.95807314897413,2.812590478553997,3.405331053199004,5.355693805788477,3.9794825545346937
Ai And Automation,0.5420881847680855,0.441968231859213,0.4995539696699375,0.4467055465938702,0.4832893416112123,1.6461223385756791,2.0235612423200497
Ai And Machine Learning,1.862950944836801,2.0437682479307853,2.4299732381801964,2.0887620465731893,2.226848581731663,2.017079485296959,1.7924581477932473
Ai Engineering,0.2099637335369345,0.184823078777489,0.2676181980374665,0.2150804483600115,0.2751031636863824,1.3022141504694926,1.6797249309509046
Ai Frameworks,0.0954380606986066,0.0750006696488361,0.3389830508474576,0.363982297224635,0.2490798914457786,1.2210672746242126,1.082238881686489
Ai Integration,0.0076350448558885,0.0750006696488361,0.1284567350579839,0.2026719609546263,0.2751031636863824,0.8501101279029328,0.8905924130545065
Ai Model Development,0.2443214353884329,0.2785739158385342,0.6351471900089206,0.6369690201431112,0.6840402988958697,1.2790293287994126,1.7530015218984274
Ai Solutions Development,0.0267226569956098,0.0241073581014116,0.1070472792149866,0.0909955743061587,0.1487044128034499,0.2047992580857065,0.3663829547376134
Ai Technologies,0.4542851689253674,0.4580398039268207,1.4986619090098128,1.629648012573934,1.6171604892375182,2.8285482437497587,2.8465137252691504
Ai Tools,0.3970223325062035,0.4446468272038143,0.7957181088314005,1.1746701410431402,1.0037547864232872,5.38274276440357,8.494447889070514
Ai-Powered Solutions,0.072532926130941,0.0723220743042348,0.3782337198929527,0.3929354345038673,0.5613591583330235,1.6036168321805324,1.5275350882137422
Ai/Genai Model Deployment,0.0,0.0,0.0321141837644959,0.0372254622161558,0.0631993754414662,0.0888751497353066,0.0845499126317569
Ai/Ml,5.638480626073679,5.00093750837061,5.962533452274755,5.525913057864913,6.160080300382914,11.654237026160208,11.160588467391918
Ai/Ml Governance,0.0381752242794426,0.0455361208582219,0.0677966101694915,0.1364933614592381,0.1412691921632774,0.595077089532053,0.9413223606335608
Ai/Ml Services,0.4161099446459247,0.3669675622103768,0.7457627118644068,0.7196922695123464,0.8513327632997509,2.6160207117740253,2.8746970294797363
Ai/Ml Solutions,1.9545714831074632,1.9018026946669169,3.607493309545049,3.027670926914009,3.847726681289267,6.83179411878357,7.057099374330647
Ai/Ml Techniques,0.2672265699560985,0.211609032223502,0.2604817127564674,0.2440335856392439,0.2751031636863824,0.537115035356853,0.524209458316893
Aiml,0.1908761213972132,0.2089304368789007,0.567350579839429,0.2812590478553997,0.1784452953641399,0.1159241083503999,0.1634631644213967
Airflow,3.263981675892346,3.3000294645487904,2.47992863514719,2.84154361583323,3.137663110152794,4.397387843425171,3.793472746744828
Algorithm Development,1.4048482534834892,1.2160822864489862,1.1061552185548618,0.9058195805931256,1.059518941224581,0.8191970323428263,0.6256693534750014
Algorithms,16.942164535216644,16.51086170412236,17.89830508474576,13.521115109401498,16.807316257109928,10.398392519030876,8.359168028859704
Ambiguity Management,0.0992555831265508,0.1633943160206787,0.0856378233719892,0.1778549861438557,0.1524220231235362,0.3941419683913598,0.7158559269488755
