Cluster,n_skills,mean_job_level,mean_edu_level,mean_salary_premium,top_skills
1,174,6.634,4.175,37130.2,Machine Learning(5952); Generative Ai(1975); Ai/Ml Solutions(1281); Natural Language Processing(1252); Tensorflow(1209); Pytorch(1097); Deep Learning(1086); Mlops(885); Langchain(561); Scikit-Learn(543); Computer Vision(533); NumPy(481); Model Training(477); Personalization(385); Ml Frameworks(372)
2,282,6.699,3.618,20095.9,Artificial Intelligence(9330); Automation And Scripting(4767); Design And Architecture(4535); Api Development(3265); Agile Methodologies(3136); Large Language Models(2450); Ai/Ml(2275); software Development(2252); Ci/Cd(2153); Scalability(1812); Devops(1703); Java(1691); Orchestration Tools(1583); Ai Tools(1544); Agentic Ai(1435)
3,159,6.675,3.612,12096.9,Python(7198); Sql(6725); Cloud Computing(6155); Optimization(3840); Aws(3828); Data Science(3409); Azure(3051); Sql Databases(2509); Data Modeling(2405); Data Pipelines(2346); Data Quality(2238); Data Engineering(2105); Gcp(1954); Etl(1912); Pyspark(1683)
4,71,6.79,3.473,-11682.6,Communication Skills(6830); Problem-Solving(4830); Dashboard Development(3361); Power Bi(2828); Analytical Skills(2569); Data Validation(2395); Attention To Detail(2320); Verbal And Written Communication(2287); Tableau(2249); Excellent Communication(2120); Data Management(1802); Business Requirements(1785); Process Improvement(1567); Performance Metrics(1421); Independent Work(1420)
5,54,6.663,3.408,-24102.9,Microsoft Office(1471); Powerpoint(1150); Business Analysis(1115); Organizational Skills(951); Requirement Analysis(688); Time Management(658); Functional Specifications(618); Budget Management(505); Sharepoint(435); Microsoft Outlook(429); Process Design(367); Financial Reporting(344); Test Plans Creation(333); Financial Planning Model Design(319); Vue(270)
6,2,6.446,3.661,6204.0,Data-Driven Analysis(3125); Cross-Functional Collaboration(2066)
7,69,6.762,3.832,-3304.0,Data Analytics(7998); Business Intelligence(4318); Data Analysis(4184); Excel(4020); Finance(3297); Data Visualization(3061); Statistics(2636); R(2038); Mathematics(1825); Algorithms(1638); Forecasting(1579); Economics(1477); Analytics Tools(1103); Accounting(1076); Statistical Analysis(966)
8,2,6.949,3.402,-19696.0,Training And Development(327); Community Engagement(206)
9,12,6.828,3.733,13701.4,Fraud Detection(142); Word2Vec(27); Genai/Ml Solutions(3); NVIDIA NIM(2); Segment Anything Model (SAM)(0); Data Drift Monitoring(0); Ab Experiments(0); Arize AI(0); Nlp/Nlu Ivr Chat Solutions(0); Partner/Channel Marketing(0); Genai/Ml Applications(0); Apache Pig(0)
10,137,7.335,3.553,12001.6,Strategic Planning(5393); Sales(3288); Project Management(2339); Continuous Improvement(2322); Consulting(2020); Stakeholder Management(1478); Kpis(1456); Customer Service(1439); Coaching(1374); Customer-Facing Experience(1241); Saas(1195); Product Management(1130); Crm(1030); Prioritization(1004); Risk Management(957)
