Cluster,n_skills,mean_job_level,mean_edu_level,mean_salary_premium,top_skills
1,152,6.688,4.18,25933.7,Tensorflow(2387); Deep Learning(2373); Pytorch(1616); Computer Vision(1123); Mlops(654); Ai/Ml Solutions(515); Reinforcement Learning(437); Gpu(367); Ml Pipelines(337); Cnn(336); Information Retrieval(309); Robotic Process Automation(305); Model Training(304); Autonomous Vehicles(278); Knowledge Representation(240)
2,131,6.665,4.137,20095.3,Python(15171); Machine Learning(10654); Statistics(9568); Data Science(8911); Data Visualization(7522); R(6362); Artificial Intelligence(6268); Algorithms(6255); Mathematics(6242); Optimization(3539); Sas(3181); Statistical Analysis(3066); Forecasting(2651); Economics(2452); Natural Language Processing(2397)
3,2,6.942,3.593,-500.5,Server Systems(46); technical Problem Solving(34)
4,61,6.507,3.618,6994.8,Sql(13971); Cloud Computing(8033); Sql Databases(6932); Tableau(5434); Aws(5040); Java(4434); Dashboard Development(4338); Pyspark(4271); Data Modeling(3456); Power Bi(3188); Etl(3149); Azure(3044); Hadoop(2872); Data Pipelines(2593); Data Engineering(2448)
5,263,6.582,3.648,19103.9,Automation And Scripting(6077); software Development(3675); Big Data Technologies(3453); Api Development(2639); Troubleshooting(2003); Javascript(1895); Gcp(1802); Git(1705); Mobile(1627); Data Warehousing(1531); Rest(1509); Data Processing(1443); Devops(1415); Snowflake(1375); Docker(1220)
6,230,7.37,3.624,10665.3,Data Analytics(16489); Communication Skills(10448); Problem-Solving(6594); Strategic Planning(6147); Agile Methodologies(5909); Verbal And Written Communication(4521); Finance(4359); Sales(4354); Design And Architecture(4226); Consulting(3863); Data Management(3748); Project Management(3687); Data-Driven Analysis(2940); Decision Making(2325); Interpersonal Skills(2151)
7,39,6.785,3.421,-2826.1,Business Requirements(2769); Business Process Analysis(2067); Process Improvement(1824); Business Analysis(1345); Scrum(1222); Requirement Analysis(1017); Functional Specifications(820); Sdlc(656); technical Specifications(612); Test Plans Creation(571); Systems Development(475); Process Design(462); Systems Analysis(424); System Integration(363); Issue Resolution(348)
8,29,6.714,3.527,-14342.7,Data Analysis(7728); Excel(7318); Business Intelligence(6664); Analytical Skills(3540); Attention To Detail(3189); Independent Work(2284); Microsoft Office(2263); Powerpoint(1919); Data Collection(1818); technical Expertise(1742); Ability To Work Independently(1547); Accounting(1281); Detail-Oriented(1245); Reporting And Analytics(974); Reporting Tools(883)
9,26,6.87,4.039,-1226.1,Data Validation(2924); Quality Assurance(1190); Quality Control(835); Biostatistics(660); Bioinformatics(509); Regulatory Requirements(494); Clinical Trial Design And Execution(404); Electronic Health Records(374); Computational Biology(281); Hipaa(275); Health Informatics(231); Medical Imaging(213); Variance Analysis(150); Immunology(138); FHIR(116)
10,29,6.606,3.729,-3986.5,Work-Life Balance(601); Computer Skills(457); Writing Skills(442); Interpersonal Communication(361); Documentation Skills(308); technical Writing(306); Drafting(186); technical Excellence(162); Conflict Resolution(128); Policy Development(125); technical Training(116); Administrative Support(91); technical Communication(59); Operating Laboratory Equipment(58); Business Savvy(49)
