skill,associated_skill,n_together,pct_of_skill_postings,pct_of_all_postings,lift,z
.Net,C#,166,48.68,1.8,27.032,5.66
.Net,Angular,68,19.94,1.06,18.851,2.99
.Net,Sql Server,114,33.43,3.52,9.504,2.53
.Net,Restful Apis,100,29.33,3.01,9.73,2.4
.Net,React,103,30.21,3.74,8.085,2.13
.Net,Javascript,118,34.6,4.77,7.25,2.1
.Net,Azure Devops,61,17.89,1.58,11.303,2.08
.Net,Devops,150,43.99,7.15,6.153,2.06
A/B Testing,Experimentation,281,46.91,5.39,8.703,4.89
A/B Testing,Experimental Design,122,20.37,1.6,12.768,4.12
A/B Testing,Causal Inference,94,15.69,1.13,13.846,3.79
A/B Testing,Personalization,85,14.19,1.62,8.78,2.7
A/B Testing,Statistical Analysis,148,24.71,4.06,6.093,2.69
A/B Testing,Amplitude,30,5.01,0.3,16.571,2.37
A/B Testing,Looker,103,17.2,2.75,6.263,2.29
A/B Testing,Statistics,249,41.57,11.07,3.757,2.11
A/B Testing,Recommendation Systems,58,9.68,1.25,7.74,2.03
AWS Lambda,S3,322,73.52,2.56,28.757,8.83
AWS Lambda,Aws Glue,156,35.62,1.19,29.981,6.27
AWS Lambda,Rds,123,28.08,0.88,32.008,5.74
AWS Lambda,Iam,127,29.0,1.18,24.581,5.11
AWS Lambda,Cloudformation,95,21.69,0.84,25.964,4.55
AWS Lambda,Aws Technologies,135,30.82,1.71,17.996,4.43
AWS Lambda,Kinesis,72,16.44,0.55,29.666,4.23
AWS Lambda,Emr,96,21.92,1.02,21.487,4.13
AWS Lambda,Eks,73,16.67,0.64,25.95,3.99
AWS Lambda,Dynamodb,74,16.89,0.7,24.1,3.86
AWS Lambda,"Architecting Complex, Scalable, Secure Solutions",37,8.45,0.18,46.799,3.74
AWS Lambda,Iam Roles And Permissions,36,8.22,0.17,47.755,3.72
AWS Lambda,Redshift,122,27.85,1.93,14.456,3.68
AWS Lambda,Aws Application Migration Service,37,8.45,0.19,44.719,3.66
AWS Lambda,Serverless,76,17.35,0.85,20.463,3.58
AWS Lambda,Terraform,144,32.88,2.71,12.124,3.56
AWS Lambda,Aws,431,98.4,16.07,6.124,3.48
AWS Lambda,Aws Professional Level Certifications,73,16.67,0.84,19.951,3.46
AWS Lambda,Sagemaker,95,21.69,1.4,15.47,3.39
AWS Lambda,Firehose,28,6.39,0.13,47.59,3.27
AWS Lambda,Aws Solutions,44,10.05,0.47,21.367,2.79
AWS Lambda,Collaboration With Stakeholders,43,9.82,0.72,13.597,2.1
AWS Lambda,Ci/Cd,212,48.4,9.04,5.355,2.09
AWS Lambda,Etl Pipelines,72,16.44,1.75,9.391,2.08
Ability To Work Independently,Independent Work,1012,86.64,5.96,14.535,17.24
Accounting,Finance,771,71.65,13.84,5.177,8.02
Accounting,Financial Reporting,222,20.63,1.44,14.288,7.87
Accounting,Financial Analysis,164,15.24,1.5,10.142,5.66
Accounting,Budget Management,187,17.38,2.12,8.198,5.35
Accounting,Variance Analysis,96,8.92,0.66,13.537,5.04
Accounting,Financial Planning Model Design,124,11.52,1.34,8.606,4.48
Accounting,Excel,553,51.39,16.88,3.046,4.21
Accounting,Financial Modeling,101,9.39,1.12,8.406,3.99
Accounting,Process Improvement,256,23.79,6.58,3.617,3.4
Accounting,Forecasting,220,20.45,6.63,3.085,2.68
Accounting,Sap,114,10.59,2.48,4.278,2.63
Accounting,Economics,202,18.77,6.2,3.028,2.52
Accounting,Detail-Oriented,133,12.36,3.49,3.543,2.4
Accounting,Financial Management,47,4.37,0.65,6.713,2.36
Accounting,Erp Systems,99,9.2,2.25,4.082,2.35
Active Directory,Powershell,44,42.72,1.04,41.2,2.13
Adobe Analytics,Google Analytics,59,53.64,1.13,47.676,2.74
Advanced Analytics,Analytics Tools,258,26.82,4.63,5.792,3.99
Advanced Analytics,Predictive Modeling,190,19.75,3.3,5.986,3.53
