skill,n_ag,lift_ag,z_ag,n_fin,lift_fin,z_fin,n_joint,lift_jo,z_jo,lift_delta,z_delta,lift_comp
.Net,25,1.2170598873982037,-0.49691110652108,32,1.0589747044874565,-0.17211242054633996,2,1.0349516672097319,-0.09505515736046179,0.8373590982286635,-0.14538070102185852,1.2888356346010499
A/B Testing,81,2.2448354691035584,0.49857040318323637,47,0.8854438433232713,-0.5176183603708092,8,2.3567179867680705,0.02274688685215797,1.0553018772196856,-0.11203652451086611,1.9876757453914533
Ab Experiments,0,,0.0,0,,0.0,0,,0.0,,0.0,
Ability To Work Independently,36,0.5116653143048064,-2.0505645953682192,95,0.9178479653218952,-0.6479951831785457,1,0.151078132927448,-0.315649055401431,0.2751322751322751,-0.44557760339121977,0.4696309676604546
Account Management,14,1.0329322493224933,-0.5320173175102044,16,0.8024674982893837,-0.40202616222588655,0,0.0,-0.14870089943179826,0.0,-0.36514659423289597,0.8288945580162471
Accounting,32,0.4937010219810111,-1.9955515641165127,150,1.5731457985168853,0.8330026276770288,1,0.16399559410711828,-0.3009449366389547,0.3106332138590203,-0.40335464499232004,0.7766636884529201
Active Directory,5,0.8058590710733737,-0.46746255416825716,16,1.75296298170011,0.37894921461545705,1,1.7131966918374688,-0.020567364554117888,2.4074074074074074,0.18184451427038043,1.412641120058862
Adherence To Laws And Policies,1,1.8445218737901665,0.006175478877512314,1,1.253855466077162,0.011635368065299627,0,0.0,-0.029726135774519765,0.0,-0.09756219094336348,2.3127638337506893
Administrative Support,0,0.0,-0.7032139577918847,9,1.450889896460716,0.1434388904428912,0,0.0,-0.08291328916591752,,0.0,0.0
Advanced Analytics,80,1.380515331734844,-0.600320537109099,124,1.4545766113743375,0.5404952913167874,5,0.9171479171479171,-0.1767169655271969,0.6419753086419753,-0.39755886206328805,2.0080653131851887
Excel,99,0.40882313172811896,-4.137009106657121,502,1.4091838297852284,0.917411426623077,7,0.3072673668693569,-0.5432588922290893,0.7326892109500805,-0.37106091899812765,0.5761069464734216
Advanced Incident Response,41,1.9728364389233954,0.14749984774153488,32,1.0466967368991962,-0.18861500035722945,6,3.0688566827697263,0.07794678100494887,1.6507936507936507,0.19713728534758962,2.064961463056948
Agentic Frameworks,190,11.769150761870092,6.809064911921808,37,1.5579622022525932,0.3983359345545461,25,16.46075179657269,1.0611555334710083,1.4590347923681257,0.2380082440899322,18.335892039605913
Agile Delivery,13,0.9591513743708867,-0.5836269832202993,40,2.006168745723459,0.8121901182247785,4,3.137053497942387,0.06762012991650711,4.279835390946502,0.6821781076309116,1.9242195096805739
Agile Development Practices,5,1.0247343743278703,-0.3225488394681525,10,1.3931727400857357,0.11939860450498305,2,4.357018747142204,0.09081170155641492,6.419753086419753,0.6463300177127809,1.4276319961424009
Agile Environments,23,1.1640732557151356,-0.5319276385782029,33,1.1353508336125522,-0.07493625178468334,2,1.0759710930442639,-0.089803764098389,0.9171075837742505,-0.109977123026898,1.3216315412622568
Agile Methodologies,207,1.0957730391808291,-1.833826572828851,446,1.6049030104699389,1.5484338576512324,34,1.9131424792139078,-0.062467705275629955,1.8925283665168058,0.6849493938087297,1.758609449373107
Project Management,74,0.5252037485866827,-2.8780971015441956,222,1.071057384019739,-0.41288285990290247,6,0.4526530806137476,-0.38031184611733393,0.8496732026143792,-0.24217191360998278,0.5625233530386131
Artificial Intelligence,1426,2.5372554906991422,3.3159666960613627,878,1.06194704104413,-0.8984549496684162,134,2.5343559207653525,0.17189696629390533,0.9987386767572526,-0.6496401978836375,2.6944309607209265
Ai Agent Systems Architecture,59,11.660013273602123,3.7722819107698484,6,0.8060499424781755,-0.24332175367933565,4,8.402821869488536,0.26134954167476165,0.7003367003367004,-0.3057737379291935,9.398553028481755
Ai And Automation,85,3.8033941602411785,1.7386271267529185,21,0.6387565581902522,-0.732677957047176,6,2.8537885594489367,0.061835260381733204,0.7313642756680732,-0.34468459262954493,2.4294429632365597
Machine Learning,972,2.7110008991794987,3.24195413855481,569,1.0787960083637678,-0.6228690522840867,112,3.3204699322978892,0.41792194285298373,1.2540913006029286,0.07466728363777583,2.9246169487054283
Ai Engineering,138,7.511134974581595,4.33397527160504,57,2.108943783926505,1.064270512035988,22,12.728208864602307,0.8397208269898938,1.8263090676883782,0.5053416250255813,15.840561414876822
Ai Frameworks,105,8.938836772983114,4.271443367064122,19,1.0995347933292035,-0.09167015197937363,13,11.76395061728395,0.6106069833548764,1.3607085346215781,0.10394041410388567,9.828562043785473
