skill,n_ag,lift_ag,z_ag,n_fin,lift_fin,z_fin,n_joint,lift_jo,z_jo,lift_delta,z_delta,lift_comp
.Net,25,1.2170598873982037,-0.49691110652108,21,1.3840037625186743,,1,1.5877099440149294,-0.017733913867064573,1.3172348484848486,0.008779613495358378,1.684415463369668
A/B Testing,81,2.2448354691035584,0.49857040318323637,15,0.5627775852836489,,2,1.807709819395963,-0.015406014474186228,0.8003452243958573,-0.10009812175433302,1.2633430846611877
Ab Experiments,0,,0.0,0,,,0,,0.0,,0.0,
Ability To Work Independently,36,0.5116653143048064,-2.0505645953682192,94,1.808661798914448,0.8400767408042287,0,0.0,-0.11477034884334643,0.0,-0.18952418051712844,0.9254295078126576
Account Management,14,1.0329322493224933,-0.5320173175102044,9,0.8989433962264152,,0,0.0,-0.050268882594355455,0.0,-0.11813528870690376,0.9285476242777524
Accounting,32,0.4937010219810111,-1.9955515641165127,46,0.960766640948306,-0.17171593006676186,1,0.5031683001013856,-0.08522308596487055,1.0197947214076246,-0.03176158637896237,0.47433147252144187
Active Directory,5,0.8058590710733737,-0.46746255416825716,7,1.5273310130060453,,0,0.0,-0.034002452641034804,0.0,-0.07058619318290403,1.2308135513626066
Adherence To Laws And Policies,1,1.8445218737901665,0.006175478877512314,0,0.0,,0,0.0,-0.010049009773760472,0.0,-0.03156449318092742,0.0
Administrative Support,0,0.0,-0.7032139577918847,9,2.889460916442048,,0,0.0,-0.02802910227474454,,0.0,0.0
Advanced Analytics,80,1.380515331734844,-0.600320537109099,60,1.40167889224493,0.3197112955887647,11,6.1907484407484406,0.18512981076588778,5.0398550724637685,0.7787456203696166,1.935039200913238
Excel,99,0.40882313172811896,-4.137009106657121,219,1.2243072373979162,0.2604078380975886,1,0.13467887833559475,-0.20129324765245177,0.32258812615955473,-0.23165715356812108,0.5005251189904177
Advanced Incident Response,41,1.9728364389233954,0.14749984774153488,11,0.7165490839485917,,1,1.5693017127799738,-0.018352609359616953,0.7903409090909091,-0.07276965866019613,1.413634143090961
Agentic Frameworks,190,11.769150761870092,6.809064911921808,12,1.0062799211489721,,8,16.16146540027137,0.34185010945409783,1.3896103896103897,0.04889971212047125,11.843060100645001
Agile Delivery,13,0.9591513743708867,-0.5836269832202993,14,1.3983563941299793,,0,0.0,-0.050268882594355455,0.0,-0.11383565712886706,1.3412354572900869
Agile Development Practices,5,1.0247343743278703,-0.3225488394681525,2,0.5549033310039599,,0,0.0,-0.030151794559465123,0.0,-0.07058619318290403,0.568628517708794
Agile Environments,23,1.1640732557151356,-0.5319276385782029,11,0.7536872986654395,,0,0.0,-0.060707610711405825,0.0,-0.1514469157159614,0.8773472275486239
Agile Methodologies,207,1.0957730391808291,-1.833826572828851,131,0.9387881449749712,-0.338859112772553,8,1.3811456400742117,-0.07163808171883317,1.2708999543170398,0.008862985503223012,1.028698738766157
Project Management,74,0.5252037485866827,-2.8780971015441956,159,1.5277041470713981,0.7155655963683307,2,0.4629406506276964,-0.12894565449013123,0.8781565656565656,-0.07883379790866663,0.8023559447733192
Artificial Intelligence,1426,2.5372554906991422,3.3159666960613627,316,0.7611632186697406,-1.2197032088543225,43,2.4952401831823057,0.039982145147052214,0.9829257871557221,-0.2539805133384269,1.9312655558880312
Ai Agent Systems Architecture,59,11.660013273602123,3.7722819107698484,3,0.8026280323450133,,2,12.89069264069264,0.1465541386974661,1.109250398724083,-0.0260415202032265,9.35865351090801
Ai And Automation,85,3.8033941602411785,1.7386271267529185,11,0.666332706097747,,4,5.837294780691007,0.1045939565835704,1.5611672278338944,0.0713863966971113,2.5343259231498725
Machine Learning,972,2.7110008991794987,3.24195413855481,241,0.9099687436599716,-0.5508634664657328,40,3.6385019550342133,0.16603987521909713,1.356808427623878,0.08676952974887385,2.4669260822874217
Ai Engineering,138,7.511134974581595,4.33397527160504,26,1.9157810083513764,0.4932714594534801,7,12.425782414307003,0.2672557001175248,1.6892782789729355,0.127741713728866,14.389689735467218
Ai Frameworks,105,8.938836772983114,4.271443367064122,8,0.9219932268988872,,6,16.658741258741255,0.301908525481099,1.9159779614325065,0.16753489534982383,8.241546961045136
Ai Integration,45,4.639946328478369,1.609547343205743,5,0.6979374194304465,,1,3.362789384528515,0.021700594686625333,0.7184917355371901,-0.0883952468337915,3.2383921667939677
Ai Model Development,101,5.3739435361386585,2.8005943616439803,6,0.4321843251088534,,3,5.205856643356643,0.07915275860041465,0.967764378478664,-0.06957604398193812,2.3225341603391714
Ai Solutions Development,24,6.129488072902707,1.5362537388508999,7,2.4202322206095794,,5,41.64685314685315,0.4722832736028179,8.319377990430622,0.7480541401162166,14.83478452988125
Ai Technologies,149,4.812264266055667,3.047810653723384,18,0.7870127009764334,,6,6.3199504775380255,0.13958819353735805,1.3264462809917354,0.02426332440835472,3.7873130978408445
Ai Tools,296,3.1825170153996134,2.469266797387443,49,0.7132161012806725,-0.5511790372840843,11,3.857189119170984,0.09669968220532152,1.2201754385964911,-0.011056669733228825,2.269822377982714
Ai-Powered Solutions,99,5.869532105525136,3.0062118814890053,19,1.5249932614555255,,8,15.46883116883117,0.3321326354995382,2.7792207792207795,0.36588464656328257,8.950996908822693
Model Deployment,92,4.326527228040391,2.127747771487218,16,1.0186327435993372,,4,6.134947205768736,0.11041895696163705,1.4369834710743803,0.045121000961841705,4.407142300556019
